Run,Sentence,Token,Word
0,199,0,Jessica
0,199,1,going_to
0,199,2,deer
0,200,0,Jessica
0,200,1,going_to
0,200,2,deer
0,201,0,Jessica
0,201,1,chasing
0,201,2,deer
0,202,0,Jessica
0,202,1,searching
0,203,0,Jessica
0,203,1,going_to
0,203,2,deer
0,204,0,Jessica
0,204,1,going_to
0,204,2,deer
0,205,0,Jessica
0,205,1,going_to
0,205,2,deer
0,206,0,Jessica
0,206,1,going_to
0,206,2,deer
0,207,0,Jessica
0,207,1,chasing
0,207,2,deer
0,208,0,Jessica
0,208,1,searching
0,209,0,Jessica
0,209,1,going_to
0,209,2,deer
0,210,0,Jessica
0,210,1,going_to
0,210,2,deer
0,211,0,Jessica
0,211,1,going_to
0,211,2,deer
0,212,0,Jessica
0,212,1,going_to
0,212,2,deer
0,213,0,Jessica
0,213,1,chasing
0,213,2,deer
0,214,0,Jessica
0,214,1,searching
0,215,0,Jessica
0,215,1,going_to
0,215,2,rabbit
0,216,0,Jessica
0,216,1,going_to
0,216,2,rabbit
0,217,0,Jessica
0,217,1,going_to
0,217,2,rabbit
0,218,0,Jessica
0,218,1,chasing
0,218,2,rabbit
0,219,0,Jessica
0,219,1,searching
0,220,0,Jessica
0,220,1,going_to
0,220,2,deer
0,221,0,Jessica
0,221,1,going_to
0,221,2,deer
0,222,0,Jessica
0,222,1,going_to
0,222,2,deer
0,223,0,Jessica
0,223,1,chasing
0,223,2,deer
0,224,0,Jessica
0,224,1,searching
0,225,0,Jessica
0,225,1,going_to
0,225,2,deer
0,226,0,Jessica
0,226,1,going_to
0,226,2,deer
0,227,0,Jessica
0,227,1,going_to
0,227,2,deer
0,228,0,Jessica
0,228,1,going_to
0,228,2,deer
0,229,0,Jessica
0,229,1,chasing
0,229,2,deer
0,230,0,Jessica
0,230,1,searching
0,231,0,Jessica
0,231,1,going_to
0,231,2,deer
0,232,0,Jessica
0,232,1,going_to
0,232,2,deer
0,233,0,Jessica
0,233,1,going_to
0,233,2,deer
0,234,0,Jessica
0,234,1,going_to
0,234,2,deer
0,235,0,Jessica
0,235,1,going_to
0,235,2,deer
0,236,0,Jessica
0,236,1,chasing
0,236,2,deer
0,237,0,Jessica
0,237,1,searching
0,238,0,Jessica
0,238,1,going_to
0,238,2,deer
0,239,0,Jessica
0,239,1,going_to
0,239,2,deer
0,240,0,Jessica
0,240,1,going_to
0,240,2,deer
0,241,0,Jessica
0,241,1,chasing
0,241,2,deer
0,242,0,Jessica
0,242,1,searching
0,243,0,Jessica
0,243,1,going_to
0,243,2,deer
0,244,0,Jessica
0,244,1,going_to
0,244,2,deer
0,245,0,Jessica
0,245,1,going_to
0,245,2,deer
